"title","one_liner","image_url","location","booking_url","description","date_start","time_start","attending","source","source_event_id"
"LIVINGSTON Summer Student Showcase","£1 - £13.70","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1170583778%2F975048593893%2F1%2Foriginal.20251110-132432?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C133%2C1600%2C800&s=bfc21af06e29ce9355c6ac5a25b728da","Blackburn Partnership Centre, Blackburn Partnership Centre, Blackburn, EH47 7LL","https://www.eventbrite.co.uk/e/livingston-summer-student-showcase-tickets-1985127019353?aff=ebdssbdestsearch","Showcasing PWR Pro Livingston's talented students of all ages, from our Wee Wrestlers, Juniors to our Adults classes & even our coaches!","2026-06-05","18:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/livingston-summer-student-showcase-tickets-1985127019353?aff=ebdssbdestsearch"
"Off Campus  Club (Edinburgh)","From £9.38","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186055913%2F1928092526893%2F1%2Foriginal.20260603-132119?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b27f8d831bed65c12435546a2935f7a5","La Belle Angele, 11 Hastie's Close, Edinburgh, EH1 1HJ","https://www.eventbrite.co.uk/e/off-campus-club-edinburgh-tickets-1990967668893?aff=ebdssbdestsearch","The Off Campus Club is coming to Edinburgh!","2026-08-01","23:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/off-campus-club-edinburgh-tickets-1990967668893?aff=ebdssbdestsearch"
"Edinburgh College Photography Print Showcase","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1185959948%2F168400824491%2F1%2Foriginal.20260602-132727?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.562&fp-y=0.449&s=c6d01ddd3e6c13ec475e2f2c7507de85","Edinburgh College (Sighthill Campus), Bankhead Avenue, Studio 19, Edinburgh, EH11 4DE","https://www.eventbrite.co.uk/e/edinburgh-college-photography-print-showcase-tickets-1990871178287?aff=ebdssbdestsearch","Please come along and join us whilst we celebrate the successes of this years students from the Foundation & HND1 courses.","2026-06-11","18:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/edinburgh-college-photography-print-showcase-tickets-1990871178287?aff=ebdssbdestsearch"
"Inversions Workshop: Working towards Shoulder Balance & Head Balance","£5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184594960%2F562472392185%2F1%2Foriginal.20260514-134031?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.486&fp-y=0.518&s=e5bdd55aa6a6162b36ab939353c2a9d9","Adam Smith Theatre, Bennochy Road, Kirkcaldy, KY1 1ET","https://www.eventbrite.co.uk/e/inversions-workshop-working-towards-shoulder-balance-head-balance-tickets-1989544788018?aff=ebdssbdestsearch","Build confidence, clarity, and stability in your inversions with this focused Iyengar Yoga with Jo Mitchell, Certified Iyengar Yoga Teacher.","2026-06-17","18:30:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/inversions-workshop-working-towards-shoulder-balance-head-balance-tickets-1989544788018?aff=ebdssbdestsearch"
"NAT 5 Tuitions - Computing Science Courses @ Edinburgh","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1003712243%2F260639439522%2F1%2Foriginal.20250408-121333?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C18%2C1026%2C513&s=04fef40aec637e8b3b70f7c2f2f45adf","21 Calder Rd, 21 Calder Road, Edinburgh, EH11 3PF","https://www.eventbrite.co.uk/e/nat-5-tuitions-computing-science-courses-edinburgh-tickets-1990199872393?aff=ebdssbdestsearch","NAT 5  Tuitions - Computing Science Courses @ Edinburgh . Virtual Learning available.","2026-09-05","12:20:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/nat-5-tuitions-computing-science-courses-edinburgh-tickets-1990199872393?aff=ebdssbdestsearch"
"Hot Vinayasa Flow with  Amber Hutchison","£5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184590900%2F562472392185%2F1%2Foriginal.20260514-124558?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=aa3d5d6fad57979ca76e66fd8025b867","Grace Wellness Studio, Unit 5-6 Waverley Road, Kirkcaldy, KY1 3NH","https://www.eventbrite.co.uk/e/hot-vinayasa-flow-with-amber-hutchison-tickets-1989541735889?aff=ebdssbdestsearch","This Hot Vinyasa Flow Yoga class will help you step into a practice that connects breath with movement in a seamless flow.","2026-06-17","09:30:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/hot-vinayasa-flow-with-amber-hutchison-tickets-1989541735889?aff=ebdssbdestsearch"
"Hatha Yoga class with Laura Bell","£5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184775523%2F562472392185%2F1%2Foriginal.20260517-062902?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=e3df277da0038a3ddcbffc62b1efc6c1","Kirkcaldy Leisure Centre, Esplanade, Kirkcaldy, KY1 1HR","https://www.eventbrite.co.uk/e/hatha-yoga-class-with-laura-bell-tickets-1989732925743?aff=ebdssbdestsearch","Join Laura for a Hatha Yoga class where students of all levels can move at their own pace and enjoy the physical and mental benefits of yoga","2026-06-20","14:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/hatha-yoga-class-with-laura-bell-tickets-1989732925743?aff=ebdssbdestsearch"
"Our Campus","Free","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1186011143%2F3004023787565%2F1%2Foriginal.20260602-223051?crop=focalpoint&fit=crop&w=940&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=ba6114fe81fdcae6aa9e3b04879bbc67","School of Life Sciences - University of Dundee, Dow Street, Dundee, DD1 5EH","https://www.eventbrite.co.uk/e/our-campus-tickets-1990908812853?aff=ebdssbdestsearch","hear from our Botanic Gardens and Grounds team leader on the challenges and hopes for our campus.","2026-06-15","11:30:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/our-campus-tickets-1990908812853?aff=ebdssbdestsearch"
"Future Drop Outs: co-working group","Donation","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1080450983%2F496422345815%2F1%2Foriginal.20250724-131921?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=0c935404f57a41a855cd9a8a9558fc1c","Lavender Menace Queer Books Archive at the Edinburgh Palette, 151 London Road, Edinburgh, EH7 6AE","https://www.eventbrite.co.uk/e/future-drop-outs-co-working-group-tickets-1526638901049?aff=ebdssbdestsearch","Future Drop Outs is co-working group for queer students, researchers, and writers. Join us for a calm, supportive studying session","2025-08-18","13:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/future-drop-outs-co-working-group-tickets-1526638901049?aff=ebdssbdestsearch"
"Jon Wilks and Siavush Randjibar-Daemi Siavush - Iran conflict with the US","£0 - £9","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F624803899%2F1134822093913%2F1%2Foriginal.20231020-115841?w=940&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C63%2C786%2C393&s=313c039c74ed14bbe155be8b0464d84b","Library of Mistakes, 33A Melville Street Lane, Edinburgh, EH3 7QB","https://www.eventbrite.co.uk/e/jon-wilks-and-siavush-randjibar-daemi-siavush-iran-conflict-with-the-us-tickets-1990784039653?aff=ebdssbdestsearch","Two leading experts on Iran and the situation in the Middle East will speak together and analyse the likely outcomes of the war","2026-06-12","18:00:00+01:00",,"eventbrite","https://www.eventbrite.co.uk/e/jon-wilks-and-siavush-randjibar-daemi-siavush-iran-conflict-with-the-us-tickets-1990784039653?aff=ebdssbdestsearch"
