"title","one_liner","image_url","location","booking_url","description","date_start","time_start","attending","source","source_event_id"
"The Roze Garden","£0","https://images.ra.co/639ff79551f945fb5dacd1abc13821332a901bf8.jpg","The Street, 2 Picardy Place, Edinburgh, EH1 3JT","https://ra.coevents/2380186","","2026-02-26","21:00:00.000",0,"ra","2380186"
"Heyday: Peach & Prosumer","","https://images.ra.co/62a9191e8249554eaf386450eb3e1b3d1911bef8.jpg","Sneaky Pete's, 73 Cowgate; Edinburgh, EH1 1JW; Scotland; United Kingdom","https://ra.coevents/2359509","Heyday is a queer night for people passionate about house music with Prosumer, this time with special guest Peach.

Prosumer decamped to Edinburgh from Berlin where he helped shape the sound Berghain’s Panorama Bar alongside long time collaborator Steffi. Now a popular NTS Radio resident, he’s continued to tour globally and is now equally well known as a frequent flyer at Homobloc, Glastonbury’s Block9 and NYC Downlow, Love International and numerous Boiler Rooms.

A staple at queer parties including NYC Downlow, Homobloc and Maricas (Barcelona), Peach's sets have become beloved worldwide for the emotional range and bubbly energy that radiates directly from her person & her musical choices. Her style is classic, yet steeped in modern flair, inhabiting a continuum of sound that can be defined by the uplifting energy that is felt through her sets. ","2026-02-27","23:00:00.000",90,"ra","2359509"
"Alien Disko: Tanukichi (Night On Earth / RAM Records / Undergroundtekno)","7-12","https://images.ra.co/174779d8a10d2783995546a0d60f1b4d0f357e21.png","The Bongo Club, 66 Cowgate; Edinburgh, EH1 1JX;  Scotland; United Kingdom","https://ra.coevents/2352617","Alien Disko returns to our residency at the Bongo Club on Friday 27th February with our first international booking of the year: the legendary Tanukichi!

Tanukichi is a Japanese DJ who’s always willing to evolve and to experiment at the frontiers of sound, in order to craft original tunes that strike powerful chords with his audience.

He has been into Europe’s free party culture since 2006, after a life-changing Teknival experience in his home country. Since then, he has been producing music that perfectly fits this scene’s vibe. Over the years he became one of the faces of European Hardtek, as well as being a trait d’union between Japanese and European rave scenes.

Tanukichi’s vivacious sound, centered on powerful kick drums, big bass and steady rhythms, all matched with a pristine and flawless sound production, moves and contaminates the audience’s spirit in a chain of energy and entertainment.

He is currently trying to achieve an high-powered sound with 4 kicks and a 175 BPM pace, pioneering the next era of drum and bass, energising people and making them dance, feel, and fly on the high spirits of the kick bass, as has always been the case in Tanukichi’s 18 years long music career.

Tanukichi consistently performs at major festivals across Europe and Japan.
Among others, he has played: Boomtown Festival and Glastonbury in the UK, Fujirock in Japan, Defqon.1 Festival in the Netherlands, Electrobotik Invasion and  Reperkusound in France, Selvatek in Spain, Beats For Love Festival and X-Massacre in Czech Republic.

As a producer who's music is always a staple of our residents USBs, we are very excited to have Tanukichi for his Bongo headline debut! 

Joining Tanukichi in the booth we're delighted to announce that we have Jigsore's Karl Radox and Brockout's duo Rhythm Session venturing up north, who will be spanning 140-165bpm Acid, Jungle, and Breaks. Alien Disko residents will be completing the roster with our signature multi-genre style.

4X4 / DNB / HARDTEK / ACID / TEKNO / JUNGLE / BREAKS ","2026-02-27","23:00:00.000",70,"ra","2352617"
"FLY // Omar+ Edinburgh","10-20","https://images.ra.co/804259af58d8591f037ed3f93766a157d266c2ea.jpg","The Liquid Room, 9c Victoria Street; Edinburgh, EH1 2HE; Scotland; United Kingdom","https://ra.coevents/2301887","FLY presents Omar+ 

FLY champions cutting edge music in Scotland. Alongside our weekly clubs, we deliver FLY FESTIVAL, FLY WAREHOUSE and many more of the country's top underground dance events.

Previous Guests: &ME, Chris Stussy, PAWSA, Marlon Hoffstadt, sim0ne, DJ Heartstring, Chloé Caillet, Interplanetary Criminal, Job Jobse, Mr G, Max Dean, EFFY, Josh Baker, Sally C, KILIMANJARO + more.","2026-02-27","23:00:00.000",265,"ra","2301887"
"REDLINE","","https://images.ra.co/de7d7c1522f3a3bc03fc05e8feef165773efdf1b.jpg","The Mash House, 37 Guthrie Street, Edinburgh, EH1 1JQ, Scotland, United Kingdom","https://ra.coevents/2368745","REDLINE hits The Mash House on 27th February with intent to overwhelm
.
The main room is flooded with dubstep-hostile subs, twisted basslines and pressure so heavy it pins you to the floor. No drops for show, just punishment through sound.

The bar is pure acceleration. Techno, garage, bounce and schranz at unsafe speeds- crushed low-end, relentless percussion and a tempo that never backs off. Built to drain the room.","2026-02-27","23:00:00.000",45,"ra","2368745"
"Off World Dreams - Natasha Kitty Katt & Mairi 'b' Pots","£12","https://images.ra.co/9428d57a8ddb54cab2e6e813006db99c5df93a20.jpg","People's Leisure Club, 45 Lothian Street, Edinburgh, EH1 1HB","https://ra.coevents/2323379"," OFF WORLD DREAMS 
A chance to begin again.

Step into the shadows with Natasha Kitty Katt and Mairi ‘b’ Pots as they bring you on an electronic underground journey through Italo and synth to disco and house.

Expect an experimental soundtrack that bridges eras — unearthed gems, lost classics, and fresh cuts woven together for those who live under the strobes. Old meets new, past meets future….. 

This is Off World Dreams — your passport to another place.","2026-02-27","23:00:00.000",24,"ra","2323379"
"Annex : Ultraviolet ","£5","https://images.ra.co/bee1e769255ba0cf8cc65a4098672a7176b8bf8a.png","The Wee Red Bar, Edinburgh College of Art, 74 Lauriston Place; Edinburgh, EH3 9DF; Scotland","https://ra.coevents/2366891","ANNEX presents Ultraviolet 

Hard House • Garage • Tech House   

ANNEX arrives at The Wee Red Bar on Friday 27th February for a late-night session. Running from 23:00–03:00, the night will move across Hard House, Garage and Tech House, blending fast-paced grooves, weighty basslines and rolling rhythms into one continuous flow. This isn’t about sticking to one sound, it’s about reading the room, pushing the tempo, and keeping the dancefloor active from open to close.   

You can expect a wide variety with some Tech and Hard house royalty being spun, featuring tracks from Morgan Seatree, Dart, DJ Heartstring, KETTAMA and many more. Matching the same fast-paced energetic sound will be countless Garage legends, with the likes of Interplanetary Criminal, Sammy Virgi, Silva Bumpa and Soul Mass Transit System - blending seamlessly into a night that pushes the passion for atmosphere, movement and energy.  
 
If you’re into high tempos, bouncing dancefloors and freedom for the night, this one’s for you.  
","2026-02-27","23:00:00.000",14,"ra","2366891"
"Stepback X Box Energy ","0","https://images.ra.co/ce6b0f1e5a3ec83c4f11581afea9b8a2a199e729.jpg","The Safari Lounge, 21 Cadzow Place, Abbeyhill, Edinburgh EH7 5SN, Scotland, United Kingdom","https://ra.coevents/2342939","This one’s been in the making for a while now and promises to live up to all expectations 

Stepback vs Box Energy at The Safari Lounge 

Kirstie and Howie join the Stepback Crew for a a big one!! 


Join us for this one!! ","2026-02-27","20:00:00.000",9,"ra","2342939"
"DJ Zak from Bolton","£0","https://images.ra.co/4c3517c1006589f8123be99e2eb82418c6f68b37.png","The Doghouse, The Dog House, 18-24 Clerk St, Edinburgh EH8 9HX","https://ra.coevents/2380193","","2026-02-27","21:00:00.000",0,"ra","2380193"
"Frankie Elyse","£0","https://images.ra.co/8468fb2e4f76945546720bc793cfaa70b778abf3.png","Paradise Palms, 41 Lothian Street, EH6 6BU, Edinburgh, Scotland, United Kingdom","https://ra.coevents/2380147","","2026-02-27","22:00:00.000",0,"ra","2380147"
"Lucky Louie","£0","https://images.ra.co/bca8922b06da4692336e9cfd3b83e5de2f8dd8a2.jpg","West Port Oracle, 27 West Port, Edinburgh EH1 2LD","https://ra.coevents/2380150","","2026-02-27","21:00:00.000",0,"ra","2380150"
"Latin Carnival at the Jazz Bar","£10-£16","https://images.ra.co/b1bd225edf5faf8cc5e39214104afb4c3c07c300.jpg","The Jazz Bar, 1a Chambers Street; Edinburgh, EH1 1HR; Scotland","https://ra.coevents/2358215","Bodega Latina celebrates Carnival month with live bands and DJs celebrating all things Latin. Kicking off at 9pm through to 3am
The first act is the mighty 10 piece salsa brava outfit, Orquesta Boreal. Currently the biggest and the best salsa outfit in the country who have been playing regularly to sell-out crowds at the Jazz Bar with their barrage of fiery salsa rhythms.","2026-02-27","21:00:00.000",6,"ra","2358215"
"Giuseppe","£0","https://images.ra.co/0182a4cd73b8cdfe3708266424bbb960766dfd4a.jpg","Bramble, 16A Queen St, Edinburgh EH2 1JE","https://ra.coevents/2380162","","2026-02-27","21:00:00.000",0,"ra","2380162"
"Matthew K","£0","https://images.ra.co/3f3f112c5cbec753f9b67b73c9e14e7a3285439c.png","Lady Libertine, 25 W Register St, Edinburgh, EH2 2AA, United Kingdom","https://ra.coevents/2380156","","2026-02-27","21:00:00.000",0,"ra","2380156"
"Volley Fridays","£0","https://images.ra.co/300ab806cfa681262214f6772a8aa3295471889a.png","The Volley Leith, 180 Leith Walk, Edinburgh EH6 5EA","https://ra.coevents/2380180","","2026-02-27","20:00:00.000",0,"ra","2380180"
